"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad","Estado Resumen"
"INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES","800150861","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.1447306","SASI-0011-SG-2020 (Presentación de oferta)","701870321","CO1.BDOS.1374527","SUMINISTRO DE INSUMOS PARA LOS EQUIPOS DE ALTA TECNOLOGÍA DE LOS LABORATORIOS FORENSES DEL INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES A NIVEL NACIONAL. (Presentación de oferta)","SUMINISTRO DE INSUMOS PARA LOS EQUIPOS DE ALTA TECNOLOGÍA DE LOS LABORATORIOS FORENSES DEL INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES A NIVEL NACIONAL.","Presentación de oferta","08/20/2020","08/20/2020",,,,,"08/20/2020","$1.521.331.706","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","101","día(s)","08/31/2020","08/31/2020","09/15/2020","Bogotá","01 SECRETARIA GENERAL","0","0","31","0","16","0","12","4","13","Seleccionado","70","Si","CO1.AWD.849106","701097065","Distrito Capital de Bogotá","No Definido","09/25/2020","$14.927.913","ALEXANDRA VELASQUEZ CALDERON","PURIFICACION Y ANALISIS DE FLUIDOS S.A.S","860518299","V1.41121800","Cerrado","Suministros","No Definido","V141104000, V141115700, V141116100, V141122000","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1405617","701.870.321","Adjudicado"
"ESE HOSPITAL DEPARTAMENTAL SAN CAYETANO","890801274","Caldas","Marquetalia","Territorial","Centralizada","CO1.REQ.10701124","274-2026","702645888","CO1.BDOS.10518002","PRESTACION DE SERVICIOS COMO AUX DE ENFERMERIA EN EBS","PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA EN EL PROCESO DE SALUD PUBLICA DE LA ESE HOSPITAL SAN CAYETANO DE MARQUETALIA CALDAS PARA EJECUTAR ACCIONES EN EL PROGRAMA EQUIPOS BASICOS EN SALUD DE ATENCION PRIMARIA EN SALUD APS EN CONFORMIDAD A LOS LINEAMIENTOS DEL MINISTERIO DE SALUD.","Fase de ofertas","07/22/2026","07/22/2026",,,,,"07/22/2026","$9.450.000","Contratación régimen especial","Regla aplicable","83","día(s)",,,,"Marquetalia","ESE HOSPITAL DEPARTAMENTAL SAN CAYETANO","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101601","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10555341","702.645.888","Fase de ofertas"
"SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL)","900971006","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.6025920","CPS-3972-2024","702729500","CO1.BDOS.5908132","PRESTAR SERVICIOS PROFESIONALES Y DE APOYO A LA GESTION","TECNICO ADMINISTRATIVO II","Presentación de oferta","04/01/2024","04/01/2024",,,,,"04/01/2024","$2.632.401","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"Bogotá","DIRECCIÓN DE CONTRATACIÓN - COMPRAS","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5914872","702.729.500","Presentación de oferta"
"EMPRESA DE SERVICIOS PUBLICOS DE AGUSTIN CODAZZI E.S.P","800118095","Cesar","Agustín Codazzi","Territorial","Centralizada","CO1.REQ.6644470","CPSAG-075-2024","718361298","CO1.BDOS.6518483","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE RECAUDO EN EL ÁREA DE TESORERÍA DE LA EMPRESA DE SERVICIOS PÚBLICOS DE AGUSTÍN CODAZZI EMCODAZZI E.S.P.","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE RECAUDO EN EL ÁREA DE TESORERÍA DE LA EMPRESA DE SERVICIOS PÚBLICOS DE AGUSTÍN CODAZZI
EMCODAZZI E.S.P.","Presentación de oferta","08/09/2024","08/09/2024",,,,,"08/09/2024","$4.938.000","Contratación régimen especial","Regla aplicable","3","Mes(es)",,,,"Agustín Codazzi","LUIS CARLOS QUINTERO MORENO","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6528899","718.361.298","Presentación de oferta"
"MUNICIPIO DE NEIVA","891180009","Huila","Neiva","Territorial","Centralizada","CO1.REQ.979623","MNSPOMCMCCS-124- 2019","700642036","CO1.BDOS.945305","SUMINISTRO DE LOS SERVICIOS DE RESTAURANTE; HOSPEDAJE Y APOYO LOGISTICOS REQUERIDOS PARA EL FUNCIONAMIENTO Y OPERATIVIDAD DEL CONSEJO MUNICIPAL DE PLANEACIÓN DE NEIVA; FUERA Y DENTRO DE LA CIUDAD","SUMINISTRO DE LOS SERVICIOS DE RESTAURANTE, HOSPEDAJE Y APOYO LOGISTICOS REQUERIDOS PARA EL FUNCIONAMIENTO Y OPERATIVIDAD DEL CONSEJO MUNICIPAL DE PLANEACIÓN DE NEIVA, FUERA Y DENTRO DE LA CIUDAD, PARA LA VIGENCIA FISCAL 2019 A PRECIOS UNITARIOS Y MONTO AGOTABLE.","Presentación de oferta","10/04/2019","10/04/2019",,,,,"10/04/2019","$35.000.000","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","3","Mes(es)","10/08/2019","10/08/2019",,"Neiva","UNIDAD ASESORA DE CONTRATACION","0","0","8","0","0","0","0","0","0","Cancelado","100","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.90111501","Cerrado","Suministros","No Definido","V190101501","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.947766","700.642.036","Presentación de oferta"
"HOSPITAL DEPARTAMENTAL SAN ANTONIO DE VILLAMARIA ESE","890801944","Caldas","Villamaría","Territorial","Centralizada","CO1.REQ.4368057","CONTRATO 105 2023","704659556","CO1.BDOS.4269303","PRESTACION DE SERVICIOS PARA EL APOYO A LOS DISTINTOS PROCESOS ADMINISTRATIVOS DEL AREA DE SISTEMAS DE LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE VILLAMARIA.CALDAS","PRESTACION DE SERVICIOS PARA EL APOYO A LOS DISTINTOS PROCESOS ADMINISTRATIVOS DEL AREA DE SISTEMAS DE LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE VILLAMARIA.CALDAS","Presentación de oferta","04/08/2023","04/08/2023",,,,,"04/08/2023","$3.600.000","Contratación régimen especial","Decreto 092 de 2017","58","día(s)",,,,"Villamaría","ESE SAN ANTONIO DE VILLAMARIA","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111609","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4272405","704.659.556","Presentación de oferta"
"UNIVERSIDAD NACIONAL DE COLOMBIA","899999063","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.8636478","ODC-37-2069-2025","700698038","CO1.BDOS.8482960","COMPRAR MATERIALES E INSUMOS DE OFICINA PARA EL DESARROLLO DEL TRABAJO DE CAMPO EN EL MARCO DEL DEL PROYECTO  EFECTO DEL PROGRAMA BICIRUN COMO ESTRATEGIA DEL TRANSPORTE ACTIVO Y MODIFICACIÓN DE ESTILO","COMPRAR MATERIALES E INSUMOS DE OFICINA PARA EL DESARROLLO DEL TRABAJO DE CAMPO EN EL MARCO DEL DEL PROYECTO  EFECTO DEL PROGRAMA BICIRUN COMO ESTRATEGIA DEL TRANSPORTE ACTIVO Y MODIFICACIÓN DE ESTILOS DE VIDA","Presentación de oferta","07/26/2025","07/26/2025",,,,,"07/26/2025","$1.492.736","Contratación régimen especial","Decreto 092 de 2017","29","día(s)",,,,"Bogotá","Bogotá Fac. Medicina","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.14101500","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8505674","700.698.038","Presentación de oferta"
"SENA REGIONAL TOLIMA 1","899999034","Tolima","Ibagué","Nacional","Centralizada","CO1.REQ.7528628","PSP-CCS-9310-141-2025","702561986","CO1.BDOS.7386685","PRESTACION DE SERVICIOS PROFESIONALES Y DE APOYO A LA GESTION","Prestar servicios personales de soporte a la gestión, facilitando la ejecución de actividades
técnicas, así como la implementación y configuración de soluciones tecnológicas destinadas a los
usuarios de la infraestructura tecnológica de la entidad.","Presentación de oferta","01/22/2025","01/22/2025",,,,,"01/22/2025","$162.597.191","Contratación directa","Servicios profesionales y apoyo a la gestión","339","día(s)",,,,"No Aplica","CONTRATACION CENTRO DE COMERCIO Y SERVICIOS","0","0","0","0","0","0","0","0","5","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7415825","702.561.986","Presentación de oferta"
"AGENCIA LOGÍSTICA DE GESTIÓN INMOBILIARIA Y DE SERVICIOS DE CUNDINAMARCA","830021022","Distrito Capital de Bogotá","Bogotá","Nacional","Descentralizada","CO1.REQ.3534392","EIC-CD-299-2022","701552135","CO1.BDOS.3441940","PRESTACION DE SERVICIOS TECNICO DE SISTEMAS","PRESTACIÓN DE SERVICIOS DE UN TÉCNICO EN SISTEMAS, QUE BRINDE APOYO Y SOPORTE A LOS MEDIOS TECNOLÓGICOS Y SISTEMAS DE INFORMACIÓN DE LA EIC","Presentación de oferta","10/26/2022","10/26/2022",,,,,"10/26/2022","$4.260.000","Contratación régimen especial","Regla aplicable","71","día(s)",,,,"Bogotá","EIC - Oficina Asesora Jurídica","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3449043","701.552.135","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO IMSALUD","807004352","Norte de Santander","Cúcuta","Territorial","Centralizada","CO1.REQ.7380446","SA24M-1584 CONTRATO 220M-2024","715750964","CO1.BDOS.7243819","DAVID JOSUE ESTRADA CALVO","COMPRA DE COLCHONETAS PARA LOS DIFERENTES SERVICIOS ASISTENCIALES DE LA RED PRESTADORA DE SERVICIOS DE SALUD ESE IMSALUD","Presentación de oferta","12/31/2024","12/31/2024",,,,,"12/31/2024","$25.688.000","Contratación régimen especial","Regla aplicable","1","día(s)",,,,"Cúcuta","GESCON","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.42191810","Abierto","Compraventa","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7262869","715.750.964","Presentación de oferta"
"UNIDAD DE SALUD DE IBAGUE U.S.I. - E.S.E.","809003590","Tolima","No Definido","Territorial","Centralizada","CO1.REQ.4619408","CTO-240-2023","700949019","CO1.BDOS.4515800","CONTRATAR LA PRESTACION DEL SERVICIO DE UN AUXILIAR DE ENFERMERIA VACUNADOR COMO APOYO A LA EJECUCION DE LAS RUTAS DE ATENCION EN SALUD EN LA UNIDAD DE SALUD DE IBAGUE USI E.S.E","CONTRATAR LA PRESTACION DEL SERVICIO DE UN AUXILIAR DE ENFERMERIA VACUNADOR COMO APOYO A LA EJECUCION DE LAS RUTAS DE ATENCION EN SALUD EN LA UNIDAD DE SALUD DE IBAGUE USI E.S.E","Presentación de oferta","06/05/2023","06/05/2023",,,,,"06/05/2023","$12.906.667","Contratación régimen especial","Regla aplicable","169","día(s)",,,,"Ibagué","GESTION CONTRACTUAL","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4521489","700.949.019","Presentación de oferta"
"ALCALDIA DISTRITO DE RIOHACHA","892115007","La Guajira","Riohacha","Territorial","Centralizada","CO1.REQ.2304382","CPS-346-2021","702424037","CO1.BDOS.2243183","PRESTACIÓN DE SERVICIOS COMO TÉCNICO DE CAMPO EN EL MARCO DEL PROYECTO FORTALECIMIENTO A LOS PROCESOS DE LICENCIAMIENTO URBANÍSTICO EN EL DISTRITO DE RIOHACHA","PRESTACIÓN DE SERVICIOS COMO TÉCNICO DE CAMPO
EN EL MARCO DEL PROYECTO FORTALECIMIENTO A LOS
PROCESOS DE LICENCIAMIENTO URBANÍSTICO EN EL
DISTRITO DE RIOHACHA","Fase de ofertas","09/13/2021","09/13/2021",,,,,"09/13/2021","$7.000.000","Contratación directa","Servicios profesionales y apoyo a la gestión","0","día(s)",,,,"Riohacha","Direccion de Contratacion DISTRITO DE RIOHACHA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2245424","702.424.037","Fase de ofertas"
"BANCO DE LA REPUBLICA","860005216","Distrito Capital de Bogotá","Bogotá","Nacional","Descentralizada","CO1.REQ.3390349","45014038","706099488","CO1.BDOS.3302654","Conferencia Virtual El cuento atómico y las formas de lo breve","Conferencia Virtual El cuento atómico y las formas de lo breve","Presentación de oferta","09/21/2022","09/21/2022",,,,,"09/21/2022","$448.700","Contratación régimen especial","Regla aplicable","1","día(s)",,,,"Bogotá","AGENCIA CULTURAL IPIALES","0","0","0","0","0","0","0","0","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.93141702","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3305730","706.099.488","Presentación de oferta"
"INSTITUTO MUNICIPAL PARA LA RECREACION Y EL DEPORTE DE SOACHA","832000906","Cundinamarca","Soacha","Territorial","Centralizada","CO1.REQ.2761807","IMRDS-CD-228-2022","713824894","CO1.BDOS.2686512","PRESTACIÓN DE SERVICIOS PARA EL APOYO COMO BRIGADISTA Y PRIMER RESPONDIENTE EN LOS ESCENARIOS ADMINISTRADOS POR EL IMRDS","PRESTACIÓN DE SERVICIOS PARA EL APOYO COMO BRIGADISTA Y PRIMER RESPONDIENTE EN LOS ESCENARIOS ADMINISTRADOS POR EL IMRDS","Presentación de oferta","01/25/2022","01/25/2022",,,,,"01/25/2022","$10.560.000","Contratación directa","Servicios profesionales y apoyo a la gestión","6","Mes(es)",,,,"Soacha","CONTRATACIÓN IMRDS","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2706454","713.824.894","Presentación de oferta"
"INSTITUTO CARO Y CUERVO","899999096","Distrito Capital de Bogotá","Bogotá","Nacional","Descentralizada","CO1.REQ.855134","SMC-ICC-105-2019","700931090","CO1.BDOS.829401","ADQUISICIÓN DE ELEMENTOS DE PRODUCCIÓN AUDIOVISUAL","Adquisición de elementos de producción audiovisual para el desarrollo de los proyectos de investigación Documentación Lingüística de Cabiyarí y Arte verbal Cabiyarí: historias de vida, narrativas y consejos.","Presentación de oferta","05/08/2019","05/08/2019",,,,,"05/08/2019","$14.885.941","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","30","día(s)","05/10/2019","05/10/2019","05/10/2019","Bogotá","GESTIÓN CONTRACTUAL","0","0","14","0","8","0","0","8","0","Seleccionado","70","Si","CO1.AWD.509135","703787812","Distrito Capital de Bogotá","Bogotá","05/22/2019","$9.419.000","Jhenyfer Orjuela Pava","DIGITAL CENTER VENTAS E IMPORTACIONES JE SAS","No Definido","V1.52161520","Cerrado","Compraventa","No Definido","V126111701, V126111704, V145121516","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.822409","700.931.090","Adjudicado"
"SENA REGIONAL BOLIVAR Grupo Administrativo CINFP","899999034","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.1774142","CD BLV CINAFLUP 0009 2021","704163526","CO1.BDOS.1723685","Prestar los servicios para apoyar el área de Coordinación Misional en la supervisión de contratos de instructores de formación titulada; y apoyar la planeación; ejecución; orientación; de actividades","Prestar los servicios de un Profesional en Economía, Administración de Empresas, contaduría pública, ingeniero industrial  y áreas afines con especialización en Gerencia de Proyectos o Administración Educativa para apoyar el área de Coordinación Misional en la supervisión de contratos de instructores de formación titulada, y apoyar la planeación, ejecución, orientación, de actividades de formación en la  jornada diurna y cursos complementarios. Así mismo, para participar activamente en los equip","Presentación de oferta","02/01/2021","02/01/2021",,,,,"02/01/2021","$38.767.141","Contratación directa","Servicios profesionales y apoyo a la gestión","315","día(s)",,,,"Cartagena","CONTRATOS CINAFLUP REGIONAL BOLIVAR","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1720628","704.163.526","Presentación de oferta"
"BANCO DE LA REPUBLICA","860005216","Distrito Capital de Bogotá","Bogotá","Nacional","Descentralizada","CO1.REQ.6990457","53015273","706099488","CO1.BDOS.6860741","EDWARD FERNANDO BEDOYA GALVIS","Realizar talleres especializados para público infantil.","Presentación de oferta","10/10/2024","10/10/2024",,,,,"10/10/2024","$1.922.000","Contratación régimen especial","Regla aplicable","74","día(s)",,,,"Bogotá","SUCURSAL ARMENIA","0","0","0","0","0","0","0","0","0","Evaluación","60","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.82151500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6870429","706.099.488","Presentación de oferta"
"EMPRESA DE PARQUES Y EVENTOS DE ANTIOQUIA - ACTIVA","901437957","Antioquia","Medellín","Territorial","Descentralizada","CO1.REQ.9034396","OC041-2025","712373323","CO1.BDOS.8873778","PRODUCCIÓN; DISEÑO Y SUMINISTRO DE MATERIAL POP; PARA EL ENCUENTRO INTERNACIONAL DE PEDAGOGÍA; INVESTIGACIÓN Y EXPERIENCIAS ALTERNATIVAS; CON EL FIN DE APOYAR SU CORRECTA REALIZACIÓN; GENERAR VISIBILI","PRODUCCIÓN, DISEÑO Y SUMINISTRO DE MATERIAL POP, PARA EL ENCUENTRO INTERNACIONAL DE PEDAGOGÍA, INVESTIGACIÓN Y EXPERIENCIAS ALTERNATIVAS, CON EL FIN DE APOYAR SU CORRECTA REALIZACIÓN, GENERAR VISIBILIDAD Y RECORDACIÓN DE MARCA DE LA CORPORACIÓN GILBERTO ECHEVERRI MEJÍA.","Presentación de oferta","10/06/2025","10/06/2025",,,,,"10/06/2025","$35.253.750","Contratación régimen especial","Regla aplicable","90","día(s)",,,,"Medellín","ACTIVA Area contractual","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.82121500","Abierto","Otro","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8899644","712.373.323","Presentación de oferta"
"ALCALDIA MUNICIPAL CONTRATACION SANTANDER","890206058","Santander","Contratación","Territorial","Centralizada","CO1.REQ.8509570","MC-022-2025","704329150","CO1.BDOS.8358969","SUMINISTRO DE ALIMENTACIÓN Y HOSPEDAJE AL PERSONAL DE APOYO; COMISIÓN Y SERVICIOS EXTRAORDINARIOS EN EL MUNICIPIO DE CONTRATACIÓN SANTANDER; CON EL FIN DE FORTALECER LA SEGURIDAD Y LA CONVIVENCIA","SUMINISTRO DE ALIMENTACIÓN Y HOSPEDAJE AL PERSONAL DE APOYO, COMISIÓN Y SERVICIOS EXTRAORDINARIOS EN EL MUNICIPIO DE CONTRATACIÓN SANTANDER, CON EL FIN DE FORTALECER LA SEGURIDAD Y LA CONVIVENCIA CIUDADANA EN EL MUNICIPIO","Fase de ofertas","07/03/2025","07/03/2025",,,,,"07/03/2025","$9.960.000","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","0","día(s)","07/08/2025","07/09/2025","07/09/2025","Contratación","SECRETARIA GENERAL Y DE GOBIERNO","0","0","5","0","3","0","0","3","0","Seleccionado","70","Si","CO1.AWD.2303264","728228719","Bolívar","Simití","07/15/2025","$9.080.000","YUDY ANDREA RODRÍGUEZ GARCÍA","JAIRO ROLON GELVEZ","No Definido","V1.90111501","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8381141","704.329.150","Adjudicado"
"INSTITUCION EDUCATIVA TECNICA AGROPECUARIA LA BUENA ESPERANZA","8060133614","Bolívar","Turbaco","Territorial","Centralizada","CO1.REQ.6215771","202405110003","718990880","CO1.BDOS.6095007","MANTENIMIENTO DE INFRAESTRUCTURA","CONTRATAR LA REPARACION Y CONSTRUCCION DE LA POSA SEPTICA DE LA SECCIONAL SAN FRANCISCO, POR EL ESTADO DE ESTA","Presentación de oferta","05/09/2024","05/09/2024",,,,,"05/09/2024","$14.747.670","Contratación directa","Contratos de bienes y servicios sujetos a reserva","6","día(s)",,,,"Turbaco","Compras de Bienes","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.72101501","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6103207","718.990.880","Presentación de oferta"
"MUNICIPIO DE BELEN DE LOS ANDAQUIES","800095734","Caquetá","Belén De Los Andaquies","Territorial","Centralizada","CO1.REQ.7235254","013-CNVS-2024 .","705282432","CO1.BDOS.7099559","MEJORAMIENTO DE LA SEDE EDUCATIVA DE LA VEREDA LA QUISAYA DEL MUNICIPIO DE BELÉN DE LOS ANDAQUÍES","AUNAR ESFUERZOS INSTITUCIONALES, COMUNITARIOS, ECONÓMICOS Y SOCIALES CON LA JUNTA DE ACCIÓN COMUNAL DE LA VEREDA LA QUISAYA, PARA EL MEJORAMIENTO DE LA SEDE EDUCATIVA DE LA VEREDA LA QUISAYA DEL MUNICIPIO DE BELÉN DE LOS ANDAQUÍES, DEPARTAMENTO DEL CAQUETÁ.","Presentación de oferta","11/27/2024","11/27/2024",,,,,"11/27/2024","$10.643.959","Contratación directa","Convenios Solidarios Regimen articulo 92 Ley 2166 de 2021","30","día(s)",,,,"No Aplica","BELEN DE LOS ANDAQUIES","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.30151514","Abierto","Obra","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7119814","705.282.432","Presentación de oferta"
"MUNICIPIO DE PUERTO GAITAN","800079035","Meta","Puerto Gaitán","Territorial","Centralizada","CO1.REQ.7553350","CD-159-2025","706294725","CO1.BDOS.7418042","PRESTACIÒN DE SERVICIOS PROFESIONALES","PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO CONDUCTOR PARA LOS DESPLAZAMIENTOS EN DESARROLLO DE DIFERENTES ACTIVIDADES DE LA ALCALDÍA DEL MUNICIPIO DE PUERTO GAITÁN - META","Presentación de oferta","01/23/2025","01/23/2025",,,,,"01/23/2025","$17.124.000","Contratación directa","Servicios profesionales y apoyo a la gestión","4","Mes(es)",,,,"Puerto Gaitán","SECRETARÍA DE CONTRATACIÓN","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111612","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7432357","706.294.725","Presentación de oferta"
